state,date,temp,avgTemp
Arizona,1996,61.9,0.2
Arizona,1997,60.5,-1.2
Arizona,1998,59.3,-2.4
Arizona,1999,60.8,-0.9
Arizona,2000,61.7,0
Arizona,2001,61.2,-0.5
Arizona,2002,61.2,-0.5
Arizona,2003,61.9,0.2
Arizona,2004,60.4,-1.3
Arizona,2005,61.1,-0.6
Arizona,2006,61.1,-0.6
Arizona,2007,61.6,-0.1
Arizona,2008,60.6,-1.1
Arizona,2009,61.1,-0.6
Arizona,2010,60.4,-1.3
Arizona,2011,60.3,-1.4
Arizona,2012,62.1,0.4
Arizona,2013,60.5,-1.2
Arizona,2014,62.3,0.6
Arizona,2015,61.8,0.1
Arizona,2016,62.2,0.5
Arkansas,1980,60.5,-0.1
Arkansas,1981,60.2,-0.4
Arkansas,1982,60,-0.6
Arkansas,1983,58.9,-1.7
Arkansas,1984,60.1,-0.5
Arkansas,1985,59.8,-0.8
Arkansas,1986,61.5,0.9
Arkansas,1987,61,0.4
Arkansas,1988,59.8,-0.8
Arkansas,1989,59,-1.6
Arkansas,1990,61.8,1.2
Arkansas,1991,61.3,0.7
Arkansas,1992,59.9,-0.7
Arkansas,1993,59.3,-1.3
Arkansas,1994,60.4,-0.2
Arkansas,1995,60.5,-0.1
Arkansas,1996,59.6,-1
Arkansas,1997,59.7,-0.9
Arkansas,1998,63.1,2.5
Arkansas,1999,62.2,1.6
Arkansas,2000,60.9,0.3
Arkansas,2001,61.2,0.6
Arkansas,2002,60.6,0
Arkansas,2003,60.3,-0.3
Arkansas,2004,61,0.4
Arkansas,2005,62,1.4
Arkansas,2006,62,1.4
Arkansas,2007,61.8,1.2
Arkansas,2008,59.9,-0.7
Arkansas,2009,59.9,-0.7
Arkansas,2010,61.2,0.6
Arkansas,2011,61.8,1.2
Arkansas,2012,63.6,3
Arkansas,2013,59.6,-1
Arkansas,2014,58.7,-1.9
Arkansas,2015,61.4,0.8
Arkansas,2016,62.8,2.2
California,1980,58.1,-2.4
California,1981,59.3,-1.2
California,1982,56.3,-4.2
California,1983,57.6,-2.9
California,1984,58.2,-2.3
California,1985,57.3,-3.2
California,1986,58.9,-1.6
California,1987,58.3,-2.2
California,1988,58.7,-1.8
California,1989,58.1,-2.4
California,1990,58,-2.5
California,1991,58.1,-2.4
California,1992,59.3,-1.2
California,1993,57.7,-2.8
California,1994,58,-2.5
California,1995,58.9,-1.6
California,1996,59.6,-0.9
California,1997,59.1,-1.4
California,1998,56.7,-3.8
California,1999,58,-2.5
California,2000,58.8,-1.7
California,2001,59.1,-1.4
California,2002,58.9,-1.6
California,2003,59.4,-1.1
California,2004,58.9,-1.6
California,2005,58.6,-1.9
California,2006,58.6,-1.9
California,2007,58.9,-1.6
California,2008,58.9,-1.6
California,2009,58.8,-1.7
California,2010,57.7,-2.8
California,2011,57.4,-3.1
California,2012,59.5,-1
California,2013,59.3,-1.2
California,2014,61.5,1
California,2015,60.8,0.3
California,2016,60.2,-0.3
Colorado,1980,45.6,-0.9
Colorado,1981,47.1,0.6
Colorado,1982,44.1,-2.4
Colorado,1983,44.4,-2.1
Colorado,1984,43.7,-2.8
Colorado,1985,44.1,-2.4
Colorado,1986,46.3,-0.2
Colorado,1987,45.3,-1.2
Colorado,1988,45.1,-1.4
Colorado,1989,45.4,-1.1
Colorado,1990,45.6,-0.9
Colorado,1991,45,-1.5
Colorado,1992,45.3,-1.2
Colorado,1993,43.8,-2.7
Colorado,1994,46.5,0
Colorado,1995,45.7,-0.8
Colorado,1996,45.8,-0.7
Colorado,1997,44.8,-1.7
Colorado,1998,46.3,-0.2
Colorado,1999,46.6,0.1
Colorado,2000,47,0.5
Colorado,2001,46.9,0.4
Colorado,2002,46.1,-0.4
Colorado,2003,47,0.5
Colorado,2004,45.8,-0.7
Colorado,2005,46.8,0.3
Colorado,2006,46.5,0
Colorado,2007,46.2,-0.3
Colorado,2008,44.9,-1.6
Colorado,2009,45.2,-1.3
Colorado,2010,46.2,-0.3
Colorado,2011,45.4,-1.1
Colorado,2012,48.3,1.8
Colorado,2013,45.1,-1.4
Colorado,2014,46.1,-0.4
Colorado,2015,47.4,0.9
Colorado,2016,47.3,0.8
Connecticut,1980,47.9,-2.1
Connecticut,1981,48.4,-1.6
Connecticut,1982,47.9,-2.1
Connecticut,1983,49.4,-0.6
Connecticut,1984,49,-1
Connecticut,1985,48.7,-1.3
Connecticut,1986,48.5,-1.5
Connecticut,1987,48.8,-1.2
Connecticut,1988,48.3,-1.7
Connecticut,1989,47.9,-2.1
Connecticut,1990,51.1,1.1
Connecticut,1991,51,1
Connecticut,1992,47.7,-2.3
Connecticut,1993,48.7,-1.3
Connecticut,1994,48.9,-1.1
Connecticut,1995,49,-1
Connecticut,1996,48.4,-1.6
Connecticut,1997,48.6,-1.4
Connecticut,1998,51.6,1.6
Connecticut,1999,50.9,0.9
Connecticut,2000,48.5,-1.5
Connecticut,2001,50.2,0.2
Connecticut,2002,50.5,0.5
Connecticut,2003,48.2,-1.8
Connecticut,2004,48.8,-1.2
Connecticut,2005,49.5,-0.5
Connecticut,2006,51.1,1.1
Connecticut,2007,49.5,-0.5
Connecticut,2008,49.7,-0.3
Connecticut,2009,48.8,-1.2
Connecticut,2010,51.4,1.4
Connecticut,2011,50.9,0.9
Connecticut,2012,52.5,2.5
Connecticut,2013,49.8,-0.2
Connecticut,2014,48.7,-1.3
Connecticut,2015,49.8,-0.2
Connecticut,2016,51.7,1.7
Delaware,1980,54.1,-1.9
Delaware,1981,53.6,-2.4
Delaware,1982,54,-2
Delaware,1983,54.9,-1.1
Delaware,1984,54.7,-1.3
Delaware,1985,55.4,-0.6
Delaware,1986,55.1,-0.9
Delaware,1987,54.9,-1.1
Delaware,1988,54.1,-1.9
Delaware,1989,54.2,-1.8
Delaware,1990,57.2,1.2
Delaware,1991,56.9,0.9
Delaware,1992,53.9,-2.1
Delaware,1993,54.8,-1.2
Delaware,1994,55,-1
Delaware,1995,55.1,-0.9
Delaware,1996,54,-2
Delaware,1997,54.8,-1.2
Delaware,1998,57.4,1.4
Delaware,1999,56.5,0.5
Delaware,2000,54.7,-1.3
Delaware,2001,56.1,0.1
Delaware,2002,57.2,1.2
Delaware,2003,54.6,-1.4
Delaware,2004,55.8,-0.2
Delaware,2005,55.7,-0.3
Delaware,2006,57.3,1.3
Delaware,2007,56.3,0.3
Delaware,2008,56.3,0.3
Delaware,2009,55.4,-0.6
Delaware,2010,56.7,0.7
Delaware,2011,57.4,1.4
Delaware,2012,58.5,2.5
Delaware,2013,55.8,-0.2
Delaware,2014,54.7,-1.3
Delaware,2015,56.4,0.4
Delaware,2016,57.2,1.2
Florida,1980,69.9,-2.2
Florida,1981,69.3,-2.8
Florida,1982,71.5,-0.6
Florida,1983,69.3,-2.8
Florida,1984,70,-2.1
Florida,1985,70.8,-1.3
Florida,1986,71.5,-0.6
Florida,1987,70.2,-1.9
Florida,1988,69.7,-2.4
Florida,1989,71,-1.1
Florida,1990,72.5,0.4
Florida,1991,71.8,-0.3
Florida,1992,70.3,-1.8
Florida,1993,70.3,-1.8
Florida,1994,71.6,-0.5
Florida,1995,70.8,-1.3
Florida,1996,69.9,-2.2
Florida,1997,71.1,-1
Florida,1998,72.5,0.4
Florida,1999,71.2,-0.9
Florida,2000,70.6,-1.5
Florida,2001,70.9,-1.2
Florida,2002,71.3,-0.8
Florida,2003,70.9,-1.2
Florida,2004,70.8,-1.3
Florida,2005,70.8,-1.3
Florida,2006,71.4,-0.7
Florida,2007,71.8,-0.3
Florida,2008,70.8,-1.3
Florida,2009,71.2,-0.9
Florida,2010,69.2,-2.9
Florida,2011,71.7,-0.4
Florida,2012,71.9,-0.2
Florida,2013,71.7,-0.4
Florida,2014,70.6,-1.5
Florida,2015,73.4,1.3
Florida,2016,72.5,0.4
Georgia,1980,63,-1.4
Georgia,1981,62.4,-2
Georgia,1982,63.9,-0.5
Georgia,1983,61.9,-2.5
Georgia,1984,63.3,-1.1
Georgia,1985,63.8,-0.6
Georgia,1986,65,0.6
Georgia,1987,63.3,-1.1
Georgia,1988,62.4,-2
Georgia,1989,63.2,-1.2
Georgia,1990,65.7,1.3
Georgia,1991,64.5,0.1
Georgia,1992,62.7,-1.7
Georgia,1993,63.2,-1.2
Georgia,1994,63.6,-0.8
Georgia,1995,63.5,-0.9
Georgia,1996,62.7,-1.7
Georgia,1997,63.2,-1.2
Georgia,1998,65.7,1.3
Georgia,1999,64.5,0.1
Georgia,2000,63.4,-1
Georgia,2001,63.9,-0.5
Georgia,2002,64.4,0
Georgia,2003,63.3,-1.1
Georgia,2004,64,-0.4
Georgia,2005,63.8,-0.6
Georgia,2006,64.6,0.2
Georgia,2007,64.8,0.4
Georgia,2008,63.5,-0.9
Georgia,2009,63.4,-1
Georgia,2010,63,-1.4
Georgia,2011,64.6,0.2
Georgia,2012,65.5,1.1
Georgia,2013,63.4,-1
Georgia,2014,63,-1.4
Georgia,2015,65.3,0.9
Georgia,2016,65.8,1.4
Hawaii,1980,74.7,-0.6
Hawaii,1981,74.1,-1.2
Hawaii,1982,73.8,-1.5
Hawaii,1983,73.3,-2
Hawaii,1984,73.8,-1.5
Hawaii,1985,72.6,-2.7
Hawaii,1986,75.3,0
Hawaii,1987,74.2,-1.1
Hawaii,1988,74.6,-0.7
Hawaii,1989,73.3,-2
Hawaii,1990,74.2,-1.1
Hawaii,1991,74.3,-1
Hawaii,1992,74.7,-0.6
Hawaii,1993,73.8,-1.5
Hawaii,1994,74.8,-0.5
Hawaii,1995,75.6,0.3
Hawaii,1996,75.2,-0.1
Hawaii,1997,75.1,-0.2
Hawaii,1998,73,-2.3
Hawaii,1999,72.2,-3.1
Hawaii,2000,73.3,-2
Hawaii,2001,73.4,-1.9
Hawaii,2002,74.1,-1.2
Hawaii,2003,74.8,-0.5
Hawaii,2004,75.3,0
Hawaii,2005,74.7,-0.6
Hawaii,2006,73.9,-1.4
Hawaii,2007,74.2,-1.1
Hawaii,2008,73.7,-1.6
Hawaii,2009,73,-2.3
Hawaii,2010,73.8,-1.5
Hawaii,2011,73.8,-1.5
Hawaii,2012,73.4,-1.9
Hawaii,2013,74.5,-0.8
Hawaii,2014,74.8,-0.5
Hawaii,2015,76.2,0.9
Hawaii,2016,75.7,0.4
Idaho,1980,43.3,-1.8
Idaho,1981,44.3,-0.8
Idaho,1982,41.1,-4
Idaho,1983,42.9,-2.2
Idaho,1984,40.8,-4.3
Idaho,1985,39.7,-5.4
Idaho,1986,44.1,-1
Idaho,1987,44.5,-0.6
Idaho,1988,44.2,-0.9
Idaho,1989,42.8,-2.3
Idaho,1990,43.5,-1.6
Idaho,1991,43.3,-1.8
Idaho,1992,45,-0.1
Idaho,1993,40.9,-4.2
Idaho,1994,44.3,-0.8
Idaho,1995,43.7,-1.4
Idaho,1996,43.2,-1.9
Idaho,1997,43.2,-1.9
Idaho,1998,44.3,-0.8
Idaho,1999,43.6,-1.5
Idaho,2000,43.9,-1.2
Idaho,2001,44.2,-0.9
Idaho,2002,43,-2.1
Idaho,2003,45.4,0.3
Idaho,2004,44.2,-0.9
Idaho,2005,43.6,-1.5
Idaho,2006,44.2,-0.9
Idaho,2007,44.8,-0.3
Idaho,2008,42.5,-2.6
Idaho,2009,42.8,-2.3
Idaho,2010,43.3,-1.8
Idaho,2011,42.4,-2.7
Idaho,2012,45.1,0
Idaho,2013,43.7,-1.4
Idaho,2014,45.1,0
Idaho,2015,46.4,1.3
Idaho,2016,45.1,0
Illinois,1980,51.3,-0.8
Illinois,1981,51.8,-0.3
Illinois,1982,50.7,-1.4
Illinois,1983,52,-0.1
Illinois,1984,51.8,-0.3
Illinois,1985,50.6,-1.5
Illinois,1986,52.8,0.7
Illinois,1987,54.1,2
Illinois,1988,52.1,0
Illinois,1989,50.4,-1.7
Illinois,1990,53.6,1.5
Illinois,1991,53.7,1.6
Illinois,1992,51.9,-0.2
Illinois,1993,50.9,-1.2
Illinois,1994,52,-0.1
Illinois,1995,51.6,-0.5
Illinois,1996,50.1,-2
Illinois,1997,51,-1.1
Illinois,1998,55.2,3.1
Illinois,1999,53.5,1.4
Illinois,2000,52.2,0.1
Illinois,2001,53.4,1.3
Illinois,2002,53.2,1.1
Illinois,2003,51.7,-0.4
Illinois,2004,52.6,0.5
Illinois,2005,53.7,1.6
Illinois,2006,54,1.9
Illinois,2007,53.7,1.6
Illinois,2008,50.9,-1.2
Illinois,2009,51.4,-0.7
Illinois,2010,52.9,0.8
Illinois,2011,53.2,1.1
Illinois,2012,55.8,3.7
Illinois,2013,51.1,-1
Illinois,2014,49.5,-2.6
Illinois,2015,52.9,0.8
Illinois,2016,54.7,2.6
Indiana,1980,50.5,-1.3
Indiana,1981,50.8,-1
Indiana,1982,50.7,-1.1
Indiana,1983,51.8,0
Indiana,1984,51.3,-0.5
Indiana,1985,51,-0.8
Indiana,1986,52.4,0.6
Indiana,1987,53.2,1.4
Indiana,1988,51.3,-0.5
Indiana,1989,50.2,-1.6
Indiana,1990,53.3,1.5
Indiana,1991,53.7,1.9
Indiana,1992,51.3,-0.5
Indiana,1993,50.8,-1
Indiana,1994,51.5,-0.3
Indiana,1995,51.5,-0.3
Indiana,1996,50.1,-1.7
Indiana,1997,50.5,-1.3
Indiana,1998,55,3.2
Indiana,1999,53.2,1.4
Indiana,2000,51.6,-0.2
Indiana,2001,53.2,1.4
Indiana,2002,53.1,1.3
Indiana,2003,51.1,-0.7
Indiana,2004,52.2,0.4
Indiana,2005,52.9,1.1
Indiana,2006,53.4,1.6
Indiana,2007,53.3,1.5
Indiana,2008,51,-0.8
Indiana,2009,51.3,-0.5
Indiana,2010,52.6,0.8
Indiana,2011,53.1,1.3
Indiana,2012,55.1,3.3
Indiana,2013,51.2,-0.6
Indiana,2014,49.4,-2.4
Indiana,2015,52.3,0.5
Indiana,2016,54.2,2.4
Iowa,1980,48,-0.1
Iowa,1981,49,0.9
Iowa,1982,46.1,-2
Iowa,1983,47.7,-0.4
Iowa,1984,47.8,-0.3
Iowa,1985,45.9,-2.2
Iowa,1986,48.6,0.5
Iowa,1987,51.2,3.1
Iowa,1988,48.7,0.6
Iowa,1989,46.6,-1.5
Iowa,1990,49.5,1.4
Iowa,1991,48.6,0.5
Iowa,1992,47.8,-0.3
Iowa,1993,45.7,-2.4
Iowa,1994,47.5,-0.6
Iowa,1995,47.3,-0.8
Iowa,1996,45.2,-2.9
Iowa,1997,47.1,-1
Iowa,1998,50.9,2.8
Iowa,1999,49.7,1.6
Iowa,2000,48.6,0.5
Iowa,2001,49.1,1
Iowa,2002,49.2,1.1
Iowa,2003,47.9,-0.2
Iowa,2004,48.5,0.4
Iowa,2005,49.6,1.5
Iowa,2006,50.4,2.3
Iowa,2007,48.9,0.8
Iowa,2008,45.9,-2.2
Iowa,2009,46.7,-1.4
Iowa,2010,48.2,0.1
Iowa,2011,48.4,0.3
Iowa,2012,52.1,4
Iowa,2013,46.7,-1.4
Iowa,2014,45.5,-2.6
Iowa,2015,49.3,1.2
Iowa,2016,50.7,2.6
Kansas,1980,55.1,-0.1
Kansas,1981,55.7,0.5
Kansas,1982,53,-2.2
Kansas,1983,53.2,-2
Kansas,1984,54,-1.2
Kansas,1985,52.5,-2.7
Kansas,1986,56.2,1
Kansas,1987,55.5,0.3
Kansas,1988,54.7,-0.5
Kansas,1989,53.1,-2.1
Kansas,1990,55.5,0.3
Kansas,1991,55.7,0.5
Kansas,1992,54.2,-1
Kansas,1993,51.9,-3.3
Kansas,1994,54.9,-0.3
Kansas,1995,53.9,-1.3
Kansas,1996,53.1,-2.1
Kansas,1997,53.7,-1.5
Kansas,1998,56.3,1.1
Kansas,1999,56,0.8
Kansas,2000,55.5,0.3
Kansas,2001,55.9,0.7
Kansas,2002,55.2,0
Kansas,2003,55,-0.2
Kansas,2004,55.1,-0.1
Kansas,2005,55.9,0.7
Kansas,2006,56.9,1.7
Kansas,2007,55.1,-0.1
Kansas,2008,53.6,-1.6
Kansas,2009,53.6,-1.6
Kansas,2010,55.3,0.1
Kansas,2011,55.2,0
Kansas,2012,58.2,3
Kansas,2013,53.7,-1.5
Kansas,2014,53.7,-1.5
Kansas,2015,56.3,1.1
Kansas,2016,57.1,1.9
Kentucky,1980,54.6,-1.4
Kentucky,1981,54.3,-1.7
Kentucky,1982,55.3,-0.7
Kentucky,1983,55.1,-0.9
Kentucky,1984,55.3,-0.7
Kentucky,1985,55,-1
Kentucky,1986,56.6,0.6
Kentucky,1987,56.5,0.5
Kentucky,1988,54.8,-1.2
Kentucky,1989,54.3,-1.7
Kentucky,1990,57.3,1.3
Kentucky,1991,57.4,1.4
Kentucky,1992,55.1,-0.9
Kentucky,1993,55,-1
Kentucky,1994,55.4,-0.6
Kentucky,1995,55.4,-0.6
Kentucky,1996,54.4,-1.6
Kentucky,1997,54.5,-1.5
Kentucky,1998,58.2,2.2
Kentucky,1999,57.3,1.3
Kentucky,2000,55.7,-0.3
Kentucky,2001,56.6,0.6
Kentucky,2002,56.8,0.8
Kentucky,2003,55.2,-0.8
Kentucky,2004,56.4,0.4
Kentucky,2005,56.8,0.8
Kentucky,2006,56.8,0.8
Kentucky,2007,57.7,1.7
Kentucky,2008,55.4,-0.6
Kentucky,2009,55.4,-0.6
Kentucky,2010,56,0
Kentucky,2011,56.9,0.9
Kentucky,2012,58.4,2.4
Kentucky,2013,55,-1
Kentucky,2014,54.3,-1.7
Kentucky,2015,56.6,0.6
Kentucky,2016,57.9,1.9
Louisiana,1980,66.1,-1
Louisiana,1981,66.1,-1
Louisiana,1982,66.7,-0.4
Louisiana,1983,64.4,-2.7
Louisiana,1984,66.3,-0.8
Louisiana,1985,66.4,-0.7
Louisiana,1986,67.3,0.2
Louisiana,1987,66,-1.1
Louisiana,1988,65.6,-1.5
Louisiana,1989,65.5,-1.6
Louisiana,1990,67.8,0.7
Louisiana,1991,66.9,-0.2
Louisiana,1992,65.8,-1.3
Louisiana,1993,65.6,-1.5
Louisiana,1994,66.5,-0.6
Louisiana,1995,66.8,-0.3
Louisiana,1996,66.2,-0.9
Louisiana,1997,66,-1.1
Louisiana,1998,68.6,1.5
Louisiana,1999,67.9,0.8
Louisiana,2000,67.2,0.1
Louisiana,2001,66.7,-0.4
Louisiana,2002,66.6,-0.5
Louisiana,2003,66.4,-0.7
Louisiana,2004,67.1,0
Louisiana,2005,67.5,0.4
Louisiana,2006,67.8,0.7
Louisiana,2007,67.4,0.3
Louisiana,2008,66.6,-0.5
Louisiana,2009,66.9,-0.2
Louisiana,2010,66.5,-0.6
Louisiana,2011,67.7,0.6
Louisiana,2012,68.7,1.6
Louisiana,2013,66.3,-0.8
Louisiana,2014,65.1,-2
Louisiana,2015,68.1,1
Louisiana,2016,68.7,1.6
Maine,1980,39.5,-2.4
Maine,1981,41.8,-0.1
Maine,1982,39.9,-2
Maine,1983,42.1,0.2
Maine,1984,41.4,-0.5
Maine,1985,39.9,-2
Maine,1986,40.1,-1.8
Maine,1987,41.1,-0.8
Maine,1988,40.9,-1
Maine,1989,39.3,-2.6
Maine,1990,42.4,0.5
Maine,1991,41.7,-0.2
Maine,1992,39.8,-2.1
Maine,1993,40,-1.9
Maine,1994,40.4,-1.5
Maine,1995,40.9,-1
Maine,1996,41,-0.9
Maine,1997,39.8,-2.1
Maine,1998,43.5,1.6
Maine,1999,43.8,1.9
Maine,2000,40.9,-1
Maine,2001,42.7,0.8
Maine,2002,41.7,-0.2
Maine,2003,40.5,-1.4
Maine,2004,40.4,-1.5
Maine,2005,41.8,-0.1
Maine,2006,44,2.1
Maine,2007,40.7,-1.2
Maine,2008,41.6,-0.3
Maine,2009,40.9,-1
Maine,2010,44.6,2.7
Maine,2011,42.8,0.9
Maine,2012,43.9,2
Maine,2013,42,0.1
Maine,2014,41.2,-0.7
Maine,2015,41.2,-0.7
Maine,2016,43.2,1.3
Maryland,1980,53.6,-1.5
Maryland,1981,53.1,-2
Maryland,1982,53.6,-1.5
Maryland,1983,54.2,-0.9
Maryland,1984,54.2,-0.9
Maryland,1985,54.8,-0.3
Maryland,1986,54.6,-0.5
Maryland,1987,54.7,-0.4
Maryland,1988,53.7,-1.4
Maryland,1989,53.5,-1.6
Maryland,1990,56.6,1.5
Maryland,1991,56.5,1.4
Maryland,1992,53.5,-1.6
Maryland,1993,54.2,-0.9
Maryland,1994,54.4,-0.7
Maryland,1995,54.4,-0.7
Maryland,1996,53.2,-1.9
Maryland,1997,54.1,-1
Maryland,1998,57,1.9
Maryland,1999,55.7,0.6
Maryland,2000,54.1,-1
Maryland,2001,55.3,0.2
Maryland,2002,56.3,1.2
Maryland,2003,53.9,-1.2
Maryland,2004,55.2,0.1
Maryland,2005,55.2,0.1
Maryland,2006,56.5,1.4
Maryland,2007,55.7,0.6
Maryland,2008,55.3,0.2
Maryland,2009,54.6,-0.5
Maryland,2010,55.9,0.8
Maryland,2011,56.5,1.4
Maryland,2012,57.5,2.4
Maryland,2013,54.7,-0.4
Maryland,2014,53.6,-1.5
Maryland,2015,55.5,0.4
Maryland,2016,56.5,1.4
Massachusetts,1980,46.6,-2.2
Massachusetts,1981,47.2,-1.6
Massachusetts,1982,46.8,-2
Massachusetts,1983,48.5,-0.3
Massachusetts,1984,48,-0.8
Massachusetts,1985,47.2,-1.6
Massachusetts,1986,47.2,-1.6
Massachusetts,1987,47.4,-1.4
Massachusetts,1988,47.2,-1.6
Massachusetts,1989,46.7,-2.1
Massachusetts,1990,49.7,0.9
Massachusetts,1991,49.6,0.8
Massachusetts,1992,46.4,-2.4
Massachusetts,1993,47.3,-1.5
Massachusetts,1994,47.7,-1.1
Massachusetts,1995,47.8,-1
Massachusetts,1996,47.3,-1.5
Massachusetts,1997,47.4,-1.4
Massachusetts,1998,50.4,1.6
Massachusetts,1999,49.8,1
Massachusetts,2000,47.5,-1.3
Massachusetts,2001,49.1,0.3
Massachusetts,2002,49.3,0.5
Massachusetts,2003,47.1,-1.7
Massachusetts,2004,47.6,-1.2
Massachusetts,2005,48.4,-0.4
Massachusetts,2006,50.1,1.3
Massachusetts,2007,48.3,-0.5
Massachusetts,2008,48.6,-0.2
Massachusetts,2009,47.7,-1.1
Massachusetts,2010,50.4,1.6
Massachusetts,2011,49.7,0.9
Massachusetts,2012,51.4,2.6
Massachusetts,2013,48.8,0
Massachusetts,2014,47.7,-1.1
Massachusetts,2015,48.5,-0.3
Massachusetts,2016,50.3,1.5
Michigan,1980,42.9,-1.7
Michigan,1981,44,-0.6
Michigan,1982,43.2,-1.4
Michigan,1983,44.7,0.1
Michigan,1984,44.3,-0.3
Michigan,1985,43.5,-1.1
Michigan,1986,44.5,-0.1
Michigan,1987,46.9,2.3
Michigan,1988,44.5,-0.1
Michigan,1989,42.6,-2
Michigan,1990,45.7,1.1
Michigan,1991,45.8,1.2
Michigan,1992,43.4,-1.2
Michigan,1993,43.3,-1.3
Michigan,1994,43.9,-0.7
Michigan,1995,44.2,-0.4
Michigan,1996,42.5,-2.1
Michigan,1997,43.5,-1.1
Michigan,1998,48.3,3.7
Michigan,1999,46.4,1.8
Michigan,2000,45,0.4
Michigan,2001,46.8,2.2
Michigan,2002,45.7,1.1
Michigan,2003,44,-0.6
Michigan,2004,44.6,0
Michigan,2005,46,1.4
Michigan,2006,47,2.4
Michigan,2007,46.1,1.5
Michigan,2008,44,-0.6
Michigan,2009,43.8,-0.8
Michigan,2010,47.1,2.5
Michigan,2011,45.6,1
Michigan,2012,48.4,3.8
Michigan,2013,44.1,-0.5
Michigan,2014,41.9,-2.7
Michigan,2015,45.1,0.5
Michigan,2016,47.4,2.8
Minnesota,1980,40.7,-0.8
Minnesota,1981,42.6,1.1
Minnesota,1982,39,-2.5
Minnesota,1983,41.4,-0.1
Minnesota,1984,41.3,-0.2
Minnesota,1985,38.7,-2.8
Minnesota,1986,41.5,0
Minnesota,1987,45.3,3.8
Minnesota,1988,41.6,0.1
Minnesota,1989,39.1,-2.4
Minnesota,1990,42.5,1
Minnesota,1991,41.7,0.2
Minnesota,1992,40.9,-0.6
Minnesota,1993,38.9,-2.6
Minnesota,1994,40.9,-0.6
Minnesota,1995,40.3,-1.2
Minnesota,1996,37.6,-3.9
Minnesota,1997,40.6,-0.9
Minnesota,1998,44.9,3.4
Minnesota,1999,43.7,2.2
Minnesota,2000,41.8,0.3
Minnesota,2001,43.1,1.6
Minnesota,2002,42,0.5
Minnesota,2003,41.5,0
Minnesota,2004,41.3,-0.2
Minnesota,2005,43.1,1.6
Minnesota,2006,44.4,2.9
Minnesota,2007,42.4,0.9
Minnesota,2008,39.4,-2.1
Minnesota,2009,40.1,-1.4
Minnesota,2010,42.8,1.3
Minnesota,2011,42,0.5
Minnesota,2012,45.2,3.7
Minnesota,2013,39.3,-2.2
Minnesota,2014,38.6,-2.9
Minnesota,2015,43.5,2
Minnesota,2016,44.6,3.1
Mississippi,1980,63.1,-1.1
Mississippi,1981,63.1,-1.1
Mississippi,1982,63.8,-0.4
Mississippi,1983,61.7,-2.5
Mississippi,1984,63.3,-0.9
